"COURSECODENO","MAJORCODE","DEGREE","MAJOR","NOYEARSTUDY","PLAN1","LANGUAGE1","PROGRAMSYSTEM","CALENDAR","BEGINYEAR","BEGINSEMESTER","FACCODE","DEPCODE"
"2169","21006","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมการออกแบบและการผลิตยานยนต์","4.0","","E","S","I","2013","1","21","2100"
"2188","21112","วิทยาศาสตรมหาบัณฑิต","เทคโนโลยีนิวเคลียร์","2.0","ก(2) "," ","S","S","2013","2","21","2111"
"2085","21040","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","3.0","1.1  "," ","S","S","2013","1","21","2104"
"2628","21102","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมซอฟต์แวร์","2.0","ก(2) "," ","S","S","2015","1","21","2110"
"3912","21050","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมเคมี                                                          ","2.0","ก(2) "," ","S","S","2020","1","21","2105"
"3859","21012","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมยานพาหนะและโครงสร้างพื้นฐานระบบราง","2.0","ก(2) ","E","S","S","2019","2","21","2101"
"3860","2100A","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมระบบเมืองอัจฉริยะ","2.0","ก(1) "," ","S","S","2018","1","21","2100"
"4255","21064","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมทรัพยากรธรณีและปิโตรเลียม","2.0","ก(2) ","E","S","S","2023","1","21","2106"
"4257","21120","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมแหล่งน้ำ                                                      ","2.0","ก(1) "," ","S","S","2023","1","21","2112"
"4259","21120","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมแหล่งน้ำ                                                      ","3.0","1.1  "," ","S","S","2023","1","21","2112"
"4261","21120","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมแหล่งน้ำ                                                      ","3.0","2.1  "," ","S","S","2023","1","21","2112"
"4263","21030","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมเครื่องกล                                                     ","2.0","ก(1) "," ","S","S","2023","1","21","2103"
"4265","21030","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมเครื่องกล                                                     ","3.0","1.1  "," ","S","S","2023","1","21","2103"
"4267","21030","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมเครื่องกล                                                     ","3.0","2.2  "," ","S","S","2023","1","21","2103"
"4269","21070","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","2.0","ก(2) "," ","S","S","2023","1","21","2107"
"4271","21070","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","3.0","1.2  "," ","S","S","2023","1","21","2107"
"4273","21070","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","3.0","2.2  "," ","S","S","2023","1","21","2107"
