"YEAR","SEMESTER","COURSECODE","COURSENAME","SECTION","ROWSEQ","TEACHTYPE","DAY1","DAY2","DAY3","DAY4","DAY5","DAY6","DAY7","STARTTIME","ENDTIME","BUILDING","ROOM","STUDYPROGRAMSYSTEM","GENEDSTATUS","GENERALSUBJECT","LECTURECREDIT","NONLECTURECREDIT","TOTALCREDIT","REALREG","TOTALREG","REMARK1","REMARK2","REMARK3","FACCODE"
"2020","2","2186569","BSC PROD ENG","1","1","LECT","MO","","","","","","","1800","2100","ENG4 ","AR   ","S","N","    ","3.000",".000","3.000","6","10","","","","21"
"2020","2","2186671","ADV NAT GAS ENG","1","1","LECT","TH","","","","","","","0900","1200","ENG4 ","AR   ","S","N","    ","3.000",".000","3.000","7","10","","","","21"
"2020","2","2186756","RES SEM","1","1","SMNA","FR","","","","","","","1800","1900","ENG4 ","AR   ","S","N","    ","1.000",".000","1.000","5","10","","","","21"
"2023","2","2106479","PETROLEUM PROJECT","1","1","PRAC","IA","","","","","","","IA  ","IA  ","ENG4 ","IA   ","S","N","    ",".000","3.000","3.000","9","25","4PE","","","21"
"2023","2","2106488","PRAC ED RES ENG","1","2","LAB","AR","","","","","","","AR  ","AR  ","ENG4 ","AR   ","S","N","    ","2.000","1.000","3.000","1","10","","","","21"
"2023","2","2106489","GEO-RES ENG PROJ","1","1","LAB","MO","FR","","","","","","0900","1200","ENG4 ","41501","S","N","    ",".000","3.000","3.000","19","35","4GE","","","21"
"2023","2","2105251","UNIT OP I","1","1","LECT","MO","WE","","","","","","0800","0930","ENG3 ","206  ","S","N","    ","3.000",".000","3.000","10","45","2CHE","","","21"
"2023","2","2105333","TRANS PHENO","4","1","LECT","TU","TH","","","","","","0800","0930","ENG3 ","419  ","S","N","    ","3.000",".000","3.000","77","120","3CHE","","","21"
"2023","2","2105353","UNIT OP III","2","2","LECT","MO","WE","","","","","","0930","1100","ENG3 ","320  ","S","N","    ","3.000",".000","3.000","39","40","3CHE","","","21"
"2023","2","2105357","UNIT OP LAB II","2","2","LAB","MO","","","","","","","1300","1600","CHE  ","CHLA2","S","N","    ",".000","1.000","1.000","8","10","3CHE"," "," ","21"
"2023","2","2105357","UNIT OP LAB II","4","4","LAB","TU","","","","","","","1300","1600","CHE  ","CHLA2","S","N","    ",".000","1.000","1.000","9","10","3CHE"," "," ","21"
"2023","3","2190101","COMP PROG","1","1","LECT","MO","WE","FR","","","","","1300","1600","IA   ","IA   ","I","N","    ","3.000",".000","3.000","29","30","","","","21"
"2023","3","2190221","FUND DS ALG","1","1","LECT","MO","WE","FR","","","","","0900","1200","IA   ","IA   ","I","N","    ","3.000",".000","3.000","13","35","","","","21"
"2023","3","2182203","PROB STAT ENG","1","1","LECT","MO","TH","FR","","","","","1300","1600","ENG4 ","M07/2","I","N","    ","3.000",".000","3.000","9","20","","","","21"
"2023","3","2147417","FINAL PROJECT II","1","1","PRAC","IA","","","","","","","IA  ","IA  ","IA   ","IA   ","I","N","    ",".000","6.000","6.000","13","40","ROBOTICSAI ONLY","","","21"
"2023","3","2183103","FUND ENG GRAPHICS","1","1","LECT","TU","TH","","","","","","1300","1400","ENG2 ","304/1","I","N","    ","1.000","1.000","2.000","11","15","","","","21"
"2023","3","2183212","STATICS","3","2","LECT","MO","TU","TH","","","","","1300","1600","ENG3 ","204  ","I","N","    ","3.000",".000","3.000","9","15","CHPE","","","21"
"2022","1","2102490","ELEC ENG PRE-PROJ","1","1","LAB","AR","","","","","","","AR  ","AR  ","EE   ","AR   ","S","N","    ",".000","1.000","1.000","123","130","4EE","","","21"
"2022","1","2102499","ELEC PROJECT","1","2","LAB","IA","","","","","","","IA  ","IA  ","EE   ","AR   ","S","N","    ",".000","3.000","3.000","0","5","","","","21"
"2022","1","2102505","INTRO OPT TECH","1","1","LECT","MO","WE","","","","","","0930","1100","EE   ","404  ","S","N","    ","3.000",".000","3.000","20","40","","","","21"
"2022","1","2102531","SYSTEM IDENT","1","1","LECT","MO","WE","","","","","","0800","0930","EE   ","404  ","S","N","    ","3.000",".000","3.000","10","20","","","","21"
"2022","1","2102545","DIG IC","1","1","LECT","AR","","","","","","","AR  ","AR  ","AR   ","AR   ","S","N","    ","3.000",".000","3.000","4","20","","","","21"
"2022","1","2102561","PET SMART GRIDS","1","1","LECT","MO","WE","","","","","","1100","1230","ENG4 ","1204 ","S","N","    ","3.000",".000","3.000","19","20","","","","21"
"2022","1","2102567","POWER SYS ANAL","1","1","LECT","TU","TH","","","","","","1100","1230","ENG4 ","1204 ","S","N","    ","3.000",".000","3.000","8","20","","","","21"
