"OAAPROGRAMID","OPS_NO","PROGRAMNAME_TH","PROGRAMNAME_EN","TITLEDEGREE_TH","TITLEDEGREE_EN","DEGREENAME_TH","DEGREENAME_EN","FACULTYCODE","LEVELCODE","UPDATETIME"
"153","25530011103892","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาการจัดการทางวิศวกรรม (หลักสูตรนานาชาติ)","Master of Engineering Program in Engineering Management (International Program)","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 15:05:11"
"159","25560011103096","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีนิวเคลียร์","Master of Science Program in Nuclear Technology","วท.ม.","M.Sc.","วิทยาศาสตรมหาบัณฑิต","Master of Science","21","3","2024-12-23 14:21:56"
"168","25650016006544","หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชานวัตวิศวกรรมเพื่อความยั่งยืน (หลักสูตรสหสาขาวิชา)","Master of Science Program in Innovative Engineering for Sustainability (Interdisciplinary Program)","วท.ม.","M.Sc.","วิทยาศาสตรมหาบัณฑิต","Master of Science","21","3","2024-12-23 15:01:55"
"174","25530011103914","หลักสูตรวิศวกรรมศาสตรดุษฎีบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า","Doctor of Philosophy Program in Electrical Engineering","วศ.ด.","Ph.D.","วิศวกรรมศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:44:53"
"180","25400011101164","หลักสูตรวิศวกรรมศาสตรดุษฎีบัณฑิต สาขาวิชาวิศวกรรมแหล่งน้ำ","Doctor of Philosophy Program in Water Resources Engineering","วศ.ด.","Ph.D.","วิศวกรรมศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:45:23"
"186","25550011104816","หลักสูตรวิทยาศาสตรดุษฎีบัณฑิต สาขาวิชาวิศวกรรมชีวเวช (หลักสูตรสหสาขาวิชา)","Doctor of Philosophy Program in Biomedical Engineering","วท.ด.","Ph.D.","วิทยาศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:46:57"
"1407","SANDBOX21-001","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล (หลักสูตรแซนด์บ็อกซ์)","Bachelor of Engineering Program in Computer Engineering and Digital Technology (Sandbox Program)","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-21 15:55:01"
"1346","T20222109109220","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมพื้นผิวและการกัดกร่อน","Master of Engineering Program in Surface and Corrosion Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:09:33"
"711","25490011105743","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี","Bachelor of Engineering Program in Georesources Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:43:26"
"717","25460011101295","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมยานยนต์","Bachelor of Engineering Program in Automotive Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:41:09"
