"PERSONNEL_ID","BEGIN_DATE","END_DATE","EDUCATION_LEVEL_ID","EDUCATION_LEVEL_NAME","INSTITUTION_ID","INSTITUTION_NAME","MAJOR_ID","MAJOR_NAME","DEGREE_ID","DEGREE_NAME","NATION_ID","NATION_NAME_TH","DISTINCTION_ID","DISTINCTION_NAME","HIGHEST_EDUCATION","HIGHEST_EDUCATION_TH","EMPLOY_EDUCATION_ID","EMPLOY_EDUCATION_NAME","GRADUATE_DATE"
"10016885","19910101","99991231","D1","ปริญญาตรี/เทียบเท่า","1200000099","Colorado School of Mines","10000663","Metallurgical and Materials Engineering","10052","Bachelor of Science","US","USA"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19950101"
"10016885","20000401","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000852","University of Tokyo","10000665","Metallurgy","10314","Doctor of Philosophy","JP","Japan"," "," ","X","ใช่","99998","ปรับวุฒิ","20030328"
"10016885","19960101","99991231","F1","ปริญญาโท/เทียบเท่า","1200000550","Stevens Institute of Technology","10000632","Material","10503","Master of Science","US","USA"," "," "," ","ไม่","99998","ปรับวุฒิ","19980101"
"00036125","","99991231","F1","ปริญญาโท/เทียบเท่า","1200000595","Tokyo Institute of Technology","10000320","Electrical and Electronic Engineering","10461","Master of Engineering","JP","Japan"," "," ","X","ใช่","99998","ปรับวุฒิ","19961007"
"00036125","19890101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","00000000","--ไม่สามารถระบุได้--","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19930101"
"00036129","19780515","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000871","วิศวกรรมเคมี","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19820315"
"00036129","19850101","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000706","University of California at Los Angeles","20000871","วิศวกรรมเคมี","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99998","ปรับวุฒิ","19930101"
"00036129","19820901","99991231","F1","ปริญญาโท/เทียบเท่า","1200000686","University of Alabama, Tuscaloosa, Alabama","20000871","วิศวกรรมเคมี","10503","Master of Science","US","USA"," "," "," ","ไม่","99998","ปรับวุฒิ","19840815"
"00036130","19950913","99991231","F1","ปริญญาโท/เทียบเท่า","1200000871","University of Washington","10000650","Mechanical Engineering","10503","Master of Science","US","USA"," "," "," ","ไม่","99998","ปรับวุฒิ","19970613"
"00036130","19890101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000873","วิศวกรรมเครื่องกล","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19930101"
